first_name,last_name,sex,dob,nationality,race,occupation,contact_no,email,blk,street,unit_no,postcode
MICHAEL,DAVIS,MALE,1983-05-18,MALAYSIAN,OTHER,GRAPHIC DESIGNER,6595407373,m.davis@outlook.com,882,PASIR RIS DR,06-36,572700
RAHUL,MENON,MALE,1991-02-13,SINGAPOREAN,INDIAN,GRAPHIC DESIGNER,6594049282,r.menon@outlook.com,747,SERANGOON RD,32-72,894993
TING YAN,GOH,FEMALE,1982-06-19,SINGAPOREAN,CHINESE,RETAIL ASSISTANT,6595902401,tingyan_goh@yahoo.com.sg,729,TOA PAYOH LOR,18-40,363615
AISYAH,BIN ABDULLAH,FEMALE,1954-04-27,MALAYSIAN,MALAY,SALES MANAGER,6596054579,aisyah.binabdullah@gmail.com,193,TAMPINES ST,01-91,660081
HAO WEI,WONG,MALE,1960-02-28,SINGAPOREAN,CHINESE,FREELANCE WRITER,6591096280,haowei.wong@yahoo.com.sg,420,WOODLANDS DR,05-74,760021
JIA YAN,CHUA,FEMALE,1979-06-02,MALAYSIAN,CHINESE,SECURITY GUARD,6599873813,jiayan_chua@gmail.com,449,TAMPINES ST,37-80,163156
XIN LI,CHAN,MALE,1992-05-27,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,6594743227,xl.chan@yahoo.com.sg,729,KALLANG BAHRU,30-10,820775
MOHAMMAD,BIN ISMAIL,MALE,1979-12-19,MALAYSIAN,MALAY,RETAIL MANAGER,6595101803,mohammad.binismail@gmail.com,726,GEYLANG RD,18-65,666211
NUR,BIN ISMAIL,FEMALE,1970-08-29,SINGAPOREAN,MALAY,IT SUPPORT,6598706768,n.binismail@gmail.com,677,TOA PAYOH LOR,18-24,713762
XIN MIN,CHUA,MALE,1962-01-19,SINGAPOREAN,CHINESE,WAREHOUSE WORKER,6597630712,xm.chua@gmail.com,100,YISHUN RING RD,17-42,221552
PRIYA,KUMAR,FEMALE,1989-05-28,SINGAPOREAN,INDIAN,WAREHOUSE WORKER,6597350368,priya_kumar@yahoo.com.sg,911,JALAN BESAR,32-16,130271
SOPHIA,PEREIRA,FEMALE,1969-09-13,SINGAPOREAN,EURASIAN,NURSE,6594896624,s.pereira@yahoo.com.sg,531,JALAN BESAR,18-54,975271
ANITA,PILLAI,FEMALE,2001-05-17,SINGAPOREAN,INDIAN,ELECTRICIAN,6590043037,a.pillai@yahoo.com.sg,299,COMMONWEALTH AVE,20-76,708093
JIA YAN,LEE,FEMALE,1972-07-29,MALAYSIAN,CHINESE,BANK TELLER,6590732280,jiayan_lee@yahoo.com.sg,335,COMMONWEALTH AVE,31-91,950823
SANJAY,SINGH,MALE,1958-12-02,INDIAN,INDIAN,FREELANCE WRITER,6592589751,sanjay_singh@gmail.com,86,WOODLANDS DR,17-44,753534
TING JIA,LIM,FEMALE,1968-11-20,SINGAPOREAN,CHINESE,DATA ANALYST,6591686231,tingjia.lim@hotmail.com,464,HOUGANG AVE,20-04,148225
AHMAD,BIN ABDULLAH,MALE,1977-11-14,SINGAPOREAN,MALAY,IT SUPPORT,6594040453,a.binabdullah@outlook.com,519,ADMIRALTY DR,38-19,343467
SOPHIA,GOMES,FEMALE,1979-06-04,SINGAPOREAN,EURASIAN,BANK TELLER,6593342306,s.gomes@hotmail.com,403,KALLANG BAHRU,31-14,348728
MEENA,RAO,FEMALE,1974-04-28,INDIAN,INDIAN,LOGISTICS COORDINATOR,6595910964,meena_rao@yahoo.com.sg,234,QUEENSTOWN RD,13-80,362801
TING YAN,CHUA,FEMALE,1989-10-04,SINGAPOREAN,CHINESE,MAINTENANCE TECHNICIAN,6596138070,ty.chua@hotmail.com,553,PUNGGOL WAY,18-22,369452
AYESHA,KHAN,FEMALE,1997-01-08,BANGLADESHI,BANGLADESHI,CONSTRUCTION WORKER,6594436878,a.khan@outlook.com,559,CHOA CHU KANG LOOP,30-48,805511
PRIYA,RAO,FEMALE,1999-12-25,INDIAN,INDIAN,ADMINISTRATIVE OFFICER,6595069909,p.rao@outlook.com,674,SERANGOON RD,08-18,147549
FATIMAH,BINTE RAHMAN,FEMALE,1948-09-07,SINGAPOREAN,MALAY,RETAIL ASSISTANT,6596847048,f.binterahman@yahoo.com.sg,971,SENGKANG EAST WAY,03-89,488528
XIN WEI,LEE,MALE,1984-01-11,SINGAPOREAN,CHINESE,SOFTWARE DEVELOPER,6590848566,xinwei.lee@yahoo.com.sg,815,YISHUN RING RD,16-17,925206
PRIYA,KUMAR,FEMALE,1970-02-26,INDIAN,INDIAN,DATA ANALYST,6590432519,priya.kumar@hotmail.com,144,ANG MO KIO AVE,23-31,717457
LI WEI,CHAN,MALE,1984-01-23,SINGAPOREAN,CHINESE,LAWYER,6598748499,lw.chan@gmail.com,318,TOA PAYOH LOR,02-08,602248
YAN YAN,GOH,FEMALE,1984-09-28,SINGAPOREAN,CHINESE,FACTORY WORKER,6594947563,yanyan.goh@yahoo.com.sg,474,PUNGGOL WAY,39-56,203996
RAHUL,RAO,MALE,1989-12-18,SINGAPOREAN,INDIAN,MARKETING EXECUTIVE,6597956894,rahul_rao@hotmail.com,78,BUKIT BATOK ST,06-12,552855
XIN WEI,WONG,MALE,1976-02-23,SINGAPOREAN,CHINESE,RETAIL ASSISTANT,6599695863,xinwei.wong@hotmail.com,529,JURONG WEST ST,10-85,605612
MEENA,MENON,FEMALE,1982-01-14,MALAYSIAN,INDIAN,DATA ANALYST,6594487028,m.menon@hotmail.com,39,HOUGANG AVE,18-90,899444
HASSAN,BINTE RAHMAN,MALE,1979-06-24,SINGAPOREAN,MALAY,MARKETING EXECUTIVE,6592640889,hassan.binterahman@yahoo.com.sg,388,TAMPINES ST,21-73,725185
MOHAMMAD,BINTE RAHMAN,MALE,1948-06-25,SINGAPOREAN,MALAY,LOGISTICS COORDINATOR,6597212753,mohammad.binterahman@yahoo.com.sg,123,TAMPINES ST,38-63,652530
ANNA,CRUZ,FEMALE,2000-08-08,FILIPINO,FILIPINO,RETAIL MANAGER,6592947669,anna_cruz@hotmail.com,142,GEYLANG RD,35-91,341288
CLARA,GARCIA,FEMALE,1958-05-29,FILIPINO,FILIPINO,ADMINISTRATIVE OFFICER,6591932288,c.garcia@hotmail.com,424,ANG MO KIO AVE,21-22,940247
YAN TING,LEE,FEMALE,1990-02-09,SINGAPOREAN,CHINESE,MAINTENANCE TECHNICIAN,6598564488,yt.lee@hotmail.com,658,CHOA CHU KANG LOOP,34-66,303322
JIA JIA,CHAN,FEMALE,1983-10-24,SINGAPOREAN,CHINESE,ELECTRICIAN,6597531380,jj.chan@hotmail.com,707,ADMIRALTY DR,37-83,766158
LI WEI,WONG,MALE,1966-01-30,SINGAPOREAN,CHINESE,MARKETING EXECUTIVE,6596186390,liwei_wong@outlook.com,861,TAMPINES ST,05-83,996840
YAN JIA,TAN,FEMALE,1975-02-13,SINGAPOREAN,CHINESE,IT SUPPORT,6598464927,yj.tan@yahoo.com.sg,671,HOUGANG AVE,03-32,841995
AISYAH,BIN ABDULLAH,FEMALE,2002-12-14,SINGAPOREAN,MALAY,MARKETING EXECUTIVE,6596485471,aisyah_binabdullah@yahoo.com.sg,300,SENGKANG EAST WAY,39-20,449555
JUAN,REYES,MALE,1981-02-17,FILIPINO,FILIPINO,UNEMPLOYED,6597103580,juan.reyes@hotmail.com,530,ORCHARD RD,02-47,423869
ARJUN,RAO,MALE,2004-03-08,SINGAPOREAN,INDIAN,SECURITY GUARD,6596320310,arjun.rao@outlook.com,167,HOUGANG AVE,12-89,908554
VIKRAM,NAIR,MALE,1960-04-09,SINGAPOREAN,INDIAN,FREELANCER,6596171347,v.nair@outlook.com,704,MARINE PARADE RD,29-60,906814
PRIYA,RAO,FEMALE,1948-05-25,SINGAPOREAN,INDIAN,TEACHER,6591407191,p.rao@gmail.com,791,HOUGANG AVE,18-58,638289
WEI MIN,LEE,MALE,1988-11-28,SINGAPOREAN,CHINESE,SHOP ASSISTANT,6595625238,wm.lee@yahoo.com.sg,820,CLEMENTI AVE,09-05,400814
MEENA,MENON,FEMALE,1968-05-27,SINGAPOREAN,INDIAN,MARKETING COORDINATOR,6593986941,meena_menon@outlook.com,318,CHOA CHU KANG LOOP,04-31,540218
AISYAH,BINTE ZAINAL,FEMALE,1996-05-03,SINGAPOREAN,MALAY,STUDENT,6599574148,aisyah_bintezainal@gmail.com,436,HOUGANG AVE,06-68,478120
HAO WEI,GOH,MALE,1996-10-06,MALAYSIAN,CHINESE,ELECTRICIAN,6595679880,hw.goh@yahoo.com.sg,843,QUEENSTOWN RD,12-88,587192
MIN LI,CHUA,MALE,1962-08-31,SINGAPOREAN,CHINESE,DOCTOR,6594249899,minli.chua@hotmail.com,47,UPPER BUKIT TIMAH RD,13-37,474314
JAMES,GOMES,MALE,1976-09-22,SINGAPOREAN,EURASIAN,ACCOUNTANT,6594474830,james.gomes@hotmail.com,830,BUKIT BATOK ST,28-11,551524
SANJAY,NAIR,MALE,1976-11-10,SINGAPOREAN,INDIAN,MARKETING COORDINATOR,6597297090,s.nair@yahoo.com.sg,291,QUEENSTOWN RD,04-10,803787
SANJAY,MENON,MALE,1989-12-14,SINGAPOREAN,INDIAN,STUDENT,6597548448,sanjay.menon@hotmail.com,981,ORCHARD RD,24-57,900152
LI WEI,WONG,MALE,1959-04-20,MALAYSIAN,CHINESE,TEACHER,6594791184,liwei.wong@outlook.com,720,ADMIRALTY DR,32-26,228594
SITI,BINTE RAHMAN,FEMALE,1961-04-25,SINGAPOREAN,MALAY,RETAIL MANAGER,6592036124,s.binterahman@hotmail.com,215,CHINATOWN POINT,09-31,928766
SOPHIA,GOMES,FEMALE,1947-03-06,SINGAPOREAN,EURASIAN,RETAIL MANAGER,6595318841,sophia.gomes@yahoo.com.sg,667,BUKIT BATOK ST,29-60,813145
HAO MIN,WONG,MALE,1953-04-11,SINGAPOREAN,CHINESE,MARKETING EXECUTIVE,6599241585,haomin_wong@yahoo.com.sg,291,CLEMENTI AVE,20-79,659392
PRIYA,SINGH,FEMALE,2005-10-23,INDIAN,INDIAN,MARKETING COORDINATOR,6594440189,p.singh@hotmail.com,676,JURONG WEST ST,37-54,748133
XIN XIN,LEE,MALE,1989-06-10,SINGAPOREAN,CHINESE,CONSTRUCTION WORKER,6595357240,xinxin_lee@gmail.com,761,KALLANG BAHRU,23-52,237118
XIN LI,CHUA,MALE,1990-06-17,SINGAPOREAN,CHINESE,RETAIL MANAGER,6599691980,xinli_chua@outlook.com,748,YISHUN RING RD,13-98,267082
MICHAEL,PEREIRA,MALE,2000-11-01,SINGAPOREAN,EURASIAN,TEACHER,6597895137,m.pereira@hotmail.com,302,BISHAN ST,01-14,551860
XIN LI,CHAN,MALE,1953-11-16,SINGAPOREAN,CHINESE,ELECTRICIAN,6591993318,xinli_chan@hotmail.com,141,CHOA CHU KANG LOOP,26-48,933510
TING YAN,CHAN,FEMALE,2001-03-13,SINGAPOREAN,CHINESE,ELECTRICIAN,6595502353,tingyan_chan@hotmail.com,963,EUNOS CRESCENT,21-21,512042
AISYAH,BIN ISMAIL,FEMALE,1978-10-26,MALAYSIAN,MALAY,CUSTOMER SERVICE OFFICER,6595161977,aisyah_binismail@yahoo.com.sg,825,BOON LAY WAY,02-77,597643
VIKRAM,SINGH,MALE,1968-04-07,MALAYSIAN,INDIAN,FREELANCE WRITER,6590317716,v.singh@outlook.com,461,YISHUN RING RD,27-20,533020
MICHAEL,TAYLOR,MALE,1955-10-07,BRITISH,CAUCASIAN,UNEMPLOYED,6595943949,michael.taylor@hotmail.com,702,UPPER BUKIT TIMAH RD,17-79,607699
RAHUL,MENON,MALE,1953-05-28,SINGAPOREAN,INDIAN,CLEANER,6592044708,rahul.menon@hotmail.com,597,BALESTIER RD,35-49,513697
HASSAN,BIN ISMAIL,MALE,1953-03-12,SINGAPOREAN,MALAY,STUDENT,6591832517,hassan_binismail@yahoo.com.sg,640,COMMONWEALTH AVE,38-31,354235
HASSAN,BINTE RAHMAN,MALE,1980-09-01,SINGAPOREAN,MALAY,STUDENT,6593346315,hassan.binterahman@yahoo.com.sg,784,TAMPINES ST,21-37,777273
WILLIAM,SMITH,MALE,2003-11-05,BRITISH,CAUCASIAN,CALL CENTER AGENT,6591800206,w.smith@yahoo.com.sg,960,YISHUN RING RD,19-59,772464
HAO WEI,GOH,MALE,1963-12-12,SINGAPOREAN,CHINESE,DATA ANALYST,6593240708,hw.goh@gmail.com,189,EUNOS CRESCENT,26-55,640310
TING TING,TAN,FEMALE,1996-12-20,SINGAPOREAN,CHINESE,TEACHER,6593964499,tingting_tan@hotmail.com,73,BALESTIER RD,08-60,421709
RAHIM,KHAN,MALE,1982-08-30,BANGLADESHI,BANGLADESHI,FREELANCE WRITER,6599018050,rahim_khan@gmail.com,831,BALESTIER RD,14-98,359486
PRIYA,MENON,FEMALE,1970-06-17,SINGAPOREAN,INDIAN,NURSE,6598729882,priya_menon@outlook.com,462,CHOA CHU KANG LOOP,14-92,711474
AISYAH,BIN ABDULLAH,FEMALE,1965-04-22,SINGAPOREAN,MALAY,STUDENT,6599702453,aisyah.binabdullah@gmail.com,84,BEDOK NORTH RD,28-45,834406
FATIMAH,BIN ISMAIL,FEMALE,1957-08-18,SINGAPOREAN,MALAY,DOCTOR,6596333337,fatimah.binismail@yahoo.com.sg,394,BUKIT BATOK ST,35-18,785280
MICHAEL,DAVIS,MALE,1952-08-23,MALAYSIAN,OTHER,SALES MANAGER,6595807596,michael_davis@outlook.com,168,SENGKANG EAST WAY,13-93,902674
JIA JIA,TAN,FEMALE,1972-10-03,SINGAPOREAN,CHINESE,ELECTRICIAN,6593645172,jiajia.tan@hotmail.com,782,KALLANG BAHRU,04-18,628373
WILLIAM,SMITH,MALE,1983-03-31,AMERICAN,CAUCASIAN,LOGISTICS COORDINATOR,6597167236,william_smith@hotmail.com,579,WOODLANDS DR,04-45,774565
TING YAN,NG,FEMALE,1946-10-15,MALAYSIAN,CHINESE,GRAPHIC DESIGNER,6596923579,tingyan.ng@hotmail.com,436,BISHAN ST,34-18,507286
HASSAN,BIN ABDULLAH,MALE,1951-10-28,MALAYSIAN,MALAY,ADMINISTRATIVE OFFICER,6599375955,hassan.binabdullah@yahoo.com.sg,232,WOODLANDS DR,14-43,417915
SOPHIA,GOMES,FEMALE,1976-06-06,SINGAPOREAN,EURASIAN,FACTORY WORKER,6594388275,sophia_gomes@outlook.com,378,PUNGGOL WAY,32-60,203398
MIN LI,CHUA,MALE,1991-06-18,SINGAPOREAN,CHINESE,MARKETING COORDINATOR,6593859072,minli_chua@hotmail.com,398,MARINE PARADE RD,16-64,677390
FATIMAH,BINTE RAHMAN,FEMALE,1962-11-25,MALAYSIAN,MALAY,CONSTRUCTION WORKER,6590985360,f.binterahman@yahoo.com.sg,546,BEDOK NORTH RD,05-86,150871
YAN TING,CHAN,FEMALE,2002-10-10,SINGAPOREAN,CHINESE,ADMINISTRATIVE ASSISTANT,6596901115,yt.chan@gmail.com,22,ANG MO KIO AVE,34-93,388086
MIN MIN,CHUA,MALE,1997-08-24,SINGAPOREAN,CHINESE,CLEANER,6599479163,minmin.chua@gmail.com,259,JALAN BESAR,15-39,817269
XIN XIN,GOH,MALE,1968-09-27,SINGAPOREAN,CHINESE,STUDENT,6590713900,xinxin.goh@hotmail.com,245,JURONG WEST ST,37-61,384263
AYESHA,HOSSAIN,FEMALE,2003-05-04,BANGLADESHI,BANGLADESHI,DELIVERY DRIVER,6599507579,ayesha_hossain@yahoo.com.sg,864,KALLANG BAHRU,25-87,666820
YAN YAN,CHUA,FEMALE,1955-01-16,SINGAPOREAN,CHINESE,CALL CENTER AGENT,6594585666,yy.chua@outlook.com,812,TOA PAYOH LOR,32-30,473095
VIKRAM,PILLAI,MALE,1949-07-19,MALAYSIAN,INDIAN,IT SUPPORT,6595312979,v.pillai@gmail.com,379,CHOA CHU KANG LOOP,06-01,423241
MIN LI,LIM,MALE,1975-07-17,SINGAPOREAN,CHINESE,MAINTENANCE TECHNICIAN,6590207041,minli.lim@yahoo.com.sg,308,SERANGOON RD,25-11,860053
XIN MIN,CHAN,MALE,1956-05-08,SINGAPOREAN,CHINESE,UNEMPLOYED,6594137094,xinmin.chan@yahoo.com.sg,748,QUEENSTOWN RD,32-77,746624
HASSAN,BINTE RAHMAN,MALE,2004-12-21,MALAYSIAN,MALAY,FREELANCER,6593369728,hassan_binterahman@outlook.com,500,YISHUN RING RD,12-51,434640
YAN YAN,NG,FEMALE,1982-01-14,SINGAPOREAN,CHINESE,FREELANCER,6597744735,yanyan_ng@gmail.com,975,JALAN BESAR,14-57,936433
PRIYA,PILLAI,FEMALE,1960-10-25,SINGAPOREAN,INDIAN,FACTORY WORKER,6596724393,p.pillai@gmail.com,557,PUNGGOL WAY,27-70,138551
AISYAH,BINTE ZAINAL,FEMALE,1988-05-12,SINGAPOREAN,MALAY,FREELANCE WRITER,6593724560,aisyah.bintezainal@outlook.com,532,COMMONWEALTH AVE,34-72,708717
XIN WEI,LIM,MALE,1949-06-28,SINGAPOREAN,CHINESE,DELIVERY DRIVER,6595232651,xinwei.lim@outlook.com,361,TOA PAYOH LOR,14-67,606384
AHMAD,BINTE RAHMAN,MALE,1952-09-21,MALAYSIAN,MALAY,WAREHOUSE WORKER,6592926839,ahmad.binterahman@outlook.com,575,HOUGANG AVE,22-72,547080
TING JIA,LEE,FEMALE,2007-02-02,SINGAPOREAN,CHINESE,DATA ANALYST,6599686290,tj.lee@gmail.com,114,CHINATOWN POINT,35-24,483561
MOHAMMAD,BINTE RAHMAN,MALE,1954-11-11,SINGAPOREAN,MALAY,GRAPHIC DESIGNER,6599901382,mohammad.binterahman@yahoo.com.sg,96,BALESTIER RD,09-41,223586
LI HAO,NG,MALE,1969-04-06,SINGAPOREAN,CHINESE,NURSE,6595277776,lihao.ng@outlook.com,872,TOA PAYOH LOR,04-46,110048
LI WEI,LEE,MALE,1993-04-26,MALAYSIAN,CHINESE,CONSTRUCTION WORKER,6599019575,lw.lee@gmail.com,305,HOUGANG AVE,30-73,878586
SITI,BINTE ZAINAL,FEMALE,2005-05-07,MALAYSIAN,MALAY,DOCTOR,6594994727,siti.bintezainal@outlook.com,905,BEDOK NORTH RD,29-34,465509
JIA JIA,TAN,FEMALE,1982-05-24,SINGAPOREAN,CHINESE,CUSTOMER SERVICE OFFICER,6599039036,jiajia_tan@gmail.com,182,YISHUN RING RD,19-38,700556
PRIYA,RAO,FEMALE,1969-10-23,INDIAN,INDIAN,SECURITY GUARD,6594508325,priya.rao@outlook.com,652,SERANGOON RD,25-58,179184
PRIYA,RAO,FEMALE,1956-02-02,SINGAPOREAN,INDIAN,CUSTOMER SERVICE OFFICER,6598966154,p.rao@hotmail.com,417,JURONG WEST ST,28-28,618746
AHMAD,BINTE ZAINAL,MALE,1990-08-14,SINGAPOREAN,MALAY,DRIVER,6597659103,a.bintezainal@yahoo.com.sg,10,SERANGOON RD,13-89,238320
HASSAN,BIN ISMAIL,MALE,1952-08-07,SINGAPOREAN,MALAY,MARKETING EXECUTIVE,6591530068,hassan_binismail@yahoo.com.sg,730,CHOA CHU KANG LOOP,01-28,599968
JAMES,JOHNSON,MALE,1968-02-22,AMERICAN,CAUCASIAN,CONSTRUCTION WORKER,6595257165,james.johnson@yahoo.com.sg,386,BOON LAY WAY,20-18,501312
HAO XIN,CHAN,MALE,1947-02-21,SINGAPOREAN,CHINESE,SOCIAL MEDIA MANAGER,6592349030,hx.chan@hotmail.com,780,CHOA CHU KANG LOOP,38-94,502686
ARJUN,RAO,MALE,1951-09-23,SINGAPOREAN,INDIAN,STUDENT,6598548370,arjun.rao@outlook.com,203,COMMONWEALTH AVE,26-38,777558
SOPHIA,DE SOUZA,FEMALE,1983-08-04,SINGAPOREAN,EURASIAN,ADMINISTRATIVE OFFICER,6596130603,sophia.desouza@gmail.com,569,BALESTIER RD,12-98,593894
MICHAEL,DAVIS,MALE,1977-02-12,FILIPINO,OTHER,DATA ANALYST,6599002063,michael_davis@yahoo.com.sg,560,EUNOS CRESCENT,10-36,187657
TING YAN,CHUA,FEMALE,1952-01-30,MALAYSIAN,CHINESE,SECURITY GUARD,6594101689,tingyan.chua@hotmail.com,98,ADMIRALTY DR,28-15,575394
MIN HAO,GOH,MALE,1993-03-02,SINGAPOREAN,CHINESE,STUDENT,6590492516,minhao_goh@gmail.com,353,CHINATOWN POINT,28-35,649300
ARJUN,MENON,MALE,1968-04-26,INDIAN,INDIAN,NURSE,6598536665,a.menon@yahoo.com.sg,12,BEDOK NORTH RD,01-32,148215
JAMES,FERNANDEZ,MALE,2006-01-27,SINGAPOREAN,EURASIAN,STUDENT,6593008898,j.fernandez@hotmail.com,238,CHINATOWN POINT,34-06,520400
YAN YAN,LEE,FEMALE,1983-09-10,SINGAPOREAN,CHINESE,GRAPHIC DESIGNER,6593278644,yanyan.lee@outlook.com,760,BOON LAY WAY,35-98,934638
AISYAH,BIN ABDULLAH,FEMALE,1992-08-02,SINGAPOREAN,MALAY,MARKETING EXECUTIVE,6598254874,aisyah.binabdullah@outlook.com,994,BEDOK NORTH RD,10-92,393418
ARJUN,PILLAI,MALE,1969-05-02,SINGAPOREAN,INDIAN,CLEANER,6594893511,a.pillai@hotmail.com,277,KALLANG BAHRU,21-51,834764
HAO XIN,CHAN,MALE,1988-10-01,MALAYSIAN,CHINESE,NURSE,6596011065,haoxin.chan@gmail.com,997,UPPER BUKIT TIMAH RD,14-58,423284
ANITA,MENON,FEMALE,1994-05-14,SINGAPOREAN,INDIAN,CALL CENTER AGENT,6592917016,anita.menon@outlook.com,41,GEYLANG RD,29-72,884417
AYESHA,HOSSAIN,FEMALE,1973-02-08,BANGLADESHI,BANGLADESHI,MAINTENANCE TECHNICIAN,6590365746,a.hossain@gmail.com,76,JURONG WEST ST,29-17,196446
XIN HAO,GOH,MALE,1990-05-21,MALAYSIAN,CHINESE,SECURITY GUARD,6594695180,xinhao.goh@hotmail.com,466,BOON LAY WAY,10-05,743937
LI HAO,TAN,MALE,1956-09-02,SINGAPOREAN,CHINESE,DATA ANALYST,6599135492,lh.tan@yahoo.com.sg,810,WOODLANDS DR,23-73,626797
